App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Current Ver,Android Ver,Revenue_Estimate,Cluster,Review_Sentiment
CW Beacon for Ham Radio,COMMUNICATION,4.8,10.0,0.516,100,Paid,1.49,Everyone,Communication,KM,1.6 and up,149.0,0,0.0
CW Studio ®,COMMUNICATION,3.8,9.0,0.78,100,Paid,0.99,Everyone,Communication,1.2,2.3.3 and up,99.0,0,0.0
20WPM Amateur ham radio Koch CW Morse code trainer,COMMUNICATION,4.3,12.0,3.7,100,Paid,1.49,Everyone,Communication,3.0.4,2.1 and up,149.0,0,0.0
Morse Player,FAMILY,5.0,12.0,2.4,100,Paid,1.99,Everyone,Education,2.1.1,3.0 and up,199.0,0,0.0
CW Ringtone (Morse Code generator),COMMUNICATION,4.3,0.0,0.269,10,Paid,2.49,Everyone,Communication,1.0.2,2.2 and up,24.900000000000002,0,0.0
30WPM Amateur ham radio Koch CW Morse code trainer,FAMILY,5.0,1.0,3.7,10,Paid,1.49,Everyone,Education,2.0.2,2.1 and up,14.9,0,0.0
Learn CW,FAMILY,4.3,0.0,21.0,1,Paid,2.49,Everyone,Education,1.1,4.3 and up,2.49,0,0.0
TI-Nspire CX Calculator Manual,FAMILY,3.9,11.0,27.0,500,Paid,4.99,Everyone,Education,1.3.0,4.1 and up,2495.0,3,0.0
CZ-70 (CZ-50) pistol explained,BOOKS_AND_REFERENCE,4.3,2.0,17.0,10,Paid,5.99,Everyone,Books & Reference,Android 2.1 - 2015,1.6 and up,59.900000000000006,0,0.0
CZ-52 pistol explained,BOOKS_AND_REFERENCE,4.3,0.0,9.3,10,Paid,5.99,Everyone,Books & Reference,Android 3.0 - 2015,1.6 and up,59.900000000000006,0,0.0
CZ-27 pistol explained,BOOKS_AND_REFERENCE,4.3,1.0,11.0,10,Paid,5.99,Everyone,Books & Reference,Android 3.0 - 2015,1.6 and up,59.900000000000006,0,0.0
CZ-45 pistol explained,BOOKS_AND_REFERENCE,4.3,1.0,12.0,10,Paid,5.49,Everyone,Books & Reference,Android 3.1 - 2015,1.6 and up,54.900000000000006,0,0.0
Pistolet CZ-70 CZ-50 expliqué,BOOKS_AND_REFERENCE,4.3,0.0,17.0,1,Paid,5.99,Everyone,Books & Reference,Android 2.0 - 2016,1.6 and up,5.99,0,0.0
CZ-38 (vz 38) pistol explained,BOOKS_AND_REFERENCE,4.3,0.0,13.0,5,Paid,5.99,Everyone,Books & Reference,Android 3.1 - 2017,1.6 and up,29.950000000000003,0,0.0
Reksio cz. 1,BOOKS_AND_REFERENCE,4.3,0.0,8.6,10,Paid,0.99,Everyone,Books & Reference,1.0.1,4.0.3 and up,9.9,0,0.0
ACCDB MDB DB Manager Pro - Editor for MS Access,PRODUCTIVITY,3.1,19.0,4.5,500,Paid,8.99,Everyone,Productivity,1.0.8,4.0 and up,4495.0,3,0.0
Scale Models DB,TOOLS,4.4,9.0,33.0,50,Paid,2.99,Everyone,Tools,0.6.2,4.3 and up,149.5,0,0.0
"10,000 Quotes DB (Premium)",BOOKS_AND_REFERENCE,4.1,70.0,3.5,500,Paid,0.99,Everyone,Books & Reference,1.3,2.1 and up,495.0,3,0.0
ReDNAKET DB Normalization Tool,TOOLS,4.3,0.0,0.94,10,Paid,0.99,Everyone,Tools,1.0.2,5.0 and up,9.9,0,0.0
LC-DB,PHOTOGRAPHY,3.0,1.0,2.5,10,Paid,3.49,Everyone,Photography,1.0,4.2 and up,34.900000000000006,0,0.0
db Meter - sound level meter with data logging,TOOLS,4.3,0.0,15.0,1,Paid,1.49,Everyone,Tools,1.0.1,4.1 and up,1.49,0,0.0
D.C. Driving/Walking Tours,TRAVEL_AND_LOCAL,4.3,0.0,32.0,50,Paid,4.99,Everyone,Travel & Local,3.8.0,4.4 and up,249.5,0,0.0
AC DC Power Monitor,LIFESTYLE,5.0,1.0,1.2,10,Paid,3.04,Everyone,Lifestyle,1.2,2.3 and up,30.4,0,0.0
Guide to Nikon Df,PHOTOGRAPHY,4.3,1.0,0.663,10,Paid,29.99,Everyone,Photography,2.0.0,4.0.3 and up,299.9,0,0.0
Técnico Legislativo Câmara Legislativa DF,PRODUCTIVITY,4.3,1.0,10.0,10,Paid,2.99,Everyone,Productivity,6.0,4.0.3 and up,29.900000000000002,0,0.0
Cargo de Praça PM DF,PRODUCTIVITY,4.3,0.0,5.2,10,Paid,2.99,Everyone,Productivity,3.0,4.0 and up,29.900000000000002,0,0.0
Droidbug BusyBox Advance PRO,TOOLS,4.5,2.0,3.3,100,Paid,3.99,Everyone,Tools,1.4,4.0.3 and up,399.0,0,0.0
Diseño de columnas NTC - RSEE 2017,PRODUCTIVITY,4.3,6.0,2.8,100,Paid,0.99,Everyone,Productivity,2.0,4.1 and up,99.0,0,0.0
DG Surveyor,BUSINESS,3.6,5.0,6.8,50,Paid,8.99,Everyone,Business,6.00,4.0.3 and up,449.5,0,0.0
ZombieVital DG,FAMILY,4.3,10.0,20.0,100,Paid,12.99,Everyone,Simulation,Varies with device,Varies with device,1299.0,0,0.0
The DG Buddy,BUSINESS,3.7,3.0,11.0,10,Paid,2.49,Everyone,Business,v3,2.2 and up,24.900000000000002,0,0.0
DK Primrose for KLWP,PERSONALIZATION,4.3,0.0,16.0,1,Paid,0.99,Everyone,Personalization,v2017.Dec.01.19,4.4 and up,0.99,0,0.0
DL Image Manager,PRODUCTIVITY,5.0,2.0,1.7,10,Paid,0.99,Everyone,Productivity,1.0.5,4.0 and up,9.9,0,0.0
DM Die Roller 9000,TOOLS,4.3,0.0,3.3,5,Paid,0.99,Everyone,Tools,1.2,2.1 and up,4.95,0,0.0
Interactive NPC DM Tool,FAMILY,2.8,5.0,0.629,50,Paid,0.99,Everyone,Role Playing,1.0.0,2.3.3 and up,49.5,0,0.0
Cossack Dictionary (DN),BOOKS_AND_REFERENCE,4.3,7.0,2.3,10,Paid,2.99,Teen,Books & Reference,1.0,4.0.3 and up,29.900000000000002,0,0.0
DR.MEEP,FAMILY,4.4,54.0,33.0,500,Paid,2.99,Everyone,Puzzle,1.2,4.1 and up,1495.0,3,0.0
Dr. Splorchy Presents Space Heroes,GAME,4.6,18.0,31.0,100,Paid,4.99,Mature 17+,Adventure,1.0,7.0 and up,499.0,0,0.0
Ability DS UNO,PRODUCTIVITY,4.3,3.0,2.3,50,Paid,2.6,Everyone,Productivity,1.0,1.5 and up,130.0,0,0.0
PhotoFrame for Synology DS,PHOTOGRAPHY,4.0,1.0,2.6,10,Paid,4.99,Everyone,Photography,1.5,4.0 and up,49.900000000000006,0,0.0
Real Sheet ∞: Pathfinder + DT,FAMILY,3.5,2.0,22.0,50,Paid,2.99,Everyone,Role Playing,1.1,4.2 and up,149.5,0,0.0
RETRO Shocked DW-6000,PERSONALIZATION,5.0,13.0,0.5,100,Paid,1.49,Everyone,Personalization,1.2,2.3 and up,149.0,0,0.0
Chronolink DX,FAMILY,5.0,7.0,73.0,10,Paid,0.99,Everyone,Puzzle,1.2,4.1 and up,9.9,4,0.0
Active Soccer 2 DX,SPORTS,3.6,28.0,48.0,500,Paid,2.99,Everyone,Sports,1.0.3,1.5 and up,1495.0,3,0.0
Bubble Shooter DX AdFree,FAMILY,4.3,1.0,2.1,50,Paid,2.99,Everyone,Casual,1.02,2.3 and up,149.5,0,0.0
Santa's Monster Shootout DX,GAME,5.0,4.0,33.0,50,Paid,1.99,Teen,Action,1.05,2.2 and up,99.5,0,0.0
DX Glow - Clock Widget,PERSONALIZATION,4.4,5.0,3.4,50,Paid,0.99,Everyone,Personalization,2.0,3.0 and up,49.5,0,0.0
iCluster - The DX-Cluster database,COMMUNICATION,4.3,0.0,17.0,10,Paid,0.99,Everyone,Communication,1.7,6.0 and up,9.9,0,0.0
Dress Up RagazzA13 DX,FAMILY,3.5,13.0,42.0,100,Paid,0.99,Everyone,Simulation,1.0.5,4.0.3 and up,99.0,4,0.0
Unstoppaball DX,FAMILY,4.2,5.0,40.0,50,Paid,1.49,Everyone,Puzzle,1.7,2.0.1 and up,74.5,4,0.0
DZ Puzzle,FAMILY,4.3,14.0,47.0,10,Paid,0.99,Everyone,Puzzle,1.2,2.3 and up,9.9,4,0.0
amm dz,FINANCE,4.3,0.0,14.0,1,Paid,5.99,Everyone,Finance,1.0,4.2 and up,5.99,0,0.0
Dz kayas,FINANCE,4.3,0.0,14.0,1,Paid,28.99,Everyone,Finance,1.0,4.2 and up,28.99,0,0.0
Schlaumeier,BOOKS_AND_REFERENCE,4.3,0.0,0.688,5,Paid,0.99,Everyone,Books & Reference,0.1,2.3 and up,4.95,0,0.0
EC music dictionary,TOOLS,4.4,20.0,2.2,500,Paid,1.99,Everyone,Tools,2.1,3.0 and up,995.0,3,0.0
EF Lens Simulator,PHOTOGRAPHY,4.3,2.0,33.0,100,Paid,9.99,Everyone,Photography,2.8.3.1,2.2 and up,999.0,0,0.0
EG Classroom Decimals™,FAMILY,3.0,2.0,18.0,50,Paid,2.99,Everyone,Education;Education,2.2.2,2.2 and up,149.5,0,0.0
EG | Explore Folegandros,TRAVEL_AND_LOCAL,4.3,0.0,56.0,0,Paid,3.99,Everyone,Travel & Local,1.1.1,4.1 and up,0.0,4,0.0
Vital Tones EI Pro,HEALTH_AND_FITNESS,4.3,2.0,85.0,50,Paid,9.99,Everyone,Health & Fitness,1.4,4.0 and up,499.5,4,0.0
Masha and the Bear- House Cleaning Games for Girls,FAMILY,4.3,0.0,74.0,100,Paid,1.99,Everyone,Educational;Pretend Play,0.0.1,4.1 and up,199.0,4,0.0
Masha and the Bear - Hair Salon and MakeUp Games,FAMILY,4.3,1.0,83.0,100,Paid,2.49,Everyone,Role Playing;Education,1.0.1,4.1 and up,249.00000000000003,4,0.0
O Céu e o Inferno,BOOKS_AND_REFERENCE,4.3,14.0,0.754,500,Paid,0.99,Everyone,Books & Reference,1.1,1.6 and up,495.0,3,0.0
EP Calipers,MEDICAL,4.3,4.0,15.0,100,Paid,0.99,Everyone,Medical,2.12,4.0 and up,99.0,0,0.0
EP Coding,MEDICAL,4.3,0.0,2.0,50,Paid,0.99,Everyone,Medical,1.6,4.0 and up,49.5,0,0.0
The Great Wobo Escape Ep.1,FAMILY,4.3,11.0,20.0,500,Paid,1.99,Everyone 10+,Action;Action & Adventure,1.0.3289,4.1 and up,995.0,3,0.0
EP Cook Book,MEDICAL,4.3,0.0,3.2,0,Paid,200.0,Everyone,Medical,1.0,3.0 and up,0.0,0,0.0
Lean EQ,BUSINESS,4.3,6.0,10.0,10,Paid,89.99,Everyone,Business,1.0,4.1 and up,899.9,0,0.0
Égalité et Réconciliation,NEWS_AND_MAGAZINES,4.9,58.0,3.8,500,Paid,2.99,Everyone,News & Magazines,1.1.1,5.0 and up,1495.0,3,0.0
Eu sou Rico,FINANCE,4.3,0.0,2.6,0,Paid,30.99,Everyone,Finance,1.0,4.0 and up,0.0,0,0.0
EU RCD Guide,BOOKS_AND_REFERENCE,4.3,0.0,45.0,10,Paid,3.61,Everyone,Books & Reference,2.0,4.0 and up,36.1,4,0.0
Eu Sou Rico,FINANCE,4.3,0.0,1.4,0,Paid,394.99,Everyone,Finance,1.0,4.0.3 and up,0.0,1,0.0
IF YOU TO EU PEGO,FAMILY,4.3,3.0,2.1,100,Paid,1.26,Everyone,Entertainment,3,2.1 and up,126.0,0,0.0
I'm Rich/Eu sou Rico/أنا غني/我很有錢,LIFESTYLE,4.3,0.0,40.0,0,Paid,399.99,Everyone,Lifestyle,MONEY,4.1 and up,0.0,1,0.0
EX File Explorer File Manage Pro,PRODUCTIVITY,4.3,1.0,6.3,50,Paid,1.99,Everyone,Productivity,1.0,4.0 and up,99.5,0,0.0
An Elite Warrior Ex,GAME,4.7,15.0,93.0,100,Paid,0.99,Everyone,Adventure,1.59,4.0.3 and up,99.0,4,0.0
GO Contacts EX Black & Grey,PERSONALIZATION,3.7,21.0,0.376,500,Paid,0.99,Everyone,Personalization,1.0,1.6 and up,495.0,3,0.0
Volume Control Ex,TOOLS,4.2,5.0,2.5,100,Paid,1.49,Everyone,Tools,1.6.2,4.0 and up,149.0,0,0.0
Galaxian(FC),GAME,4.5,2.0,7.8,100,Paid,1.99,Everyone,Arcade,1.0,2.3 and up,199.0,0,0.0
SCI-FI UI,FAMILY,4.7,15.0,3.9,100,Paid,1.99,Everyone,Entertainment,0.0.53,1.6 and up,199.0,0,0.0
FJ Toolkit,TOOLS,4.3,1.0,2.5,100,Paid,1.49,Everyone,Tools,14,4.0 and up,149.0,0,0.0
FN pistol Model 1906 explained,BOOKS_AND_REFERENCE,4.3,1.0,5.3,10,Paid,5.49,Everyone,Books & Reference,Android 3.0 - 2017,1.6 and up,54.900000000000006,0,0.0
FN pistol model 1903 explained,BOOKS_AND_REFERENCE,4.3,1.0,19.0,10,Paid,6.49,Everyone,Books & Reference,Android 3.0 - 2015,1.6 and up,64.9,0,0.0
"The FN ""Baby"" pistol explained",BOOKS_AND_REFERENCE,4.3,1.0,8.8,10,Paid,5.99,Everyone,Books & Reference,Android 3.0 - 2015,1.6 and up,59.900000000000006,0,0.0
FN FAL rifle explained,BOOKS_AND_REFERENCE,4.3,1.0,7.3,10,Paid,6.49,Everyone,Books & Reference,Android 3.0 - 2015,1.6 and up,64.9,0,0.0
The FN HP pistol explained,BOOKS_AND_REFERENCE,4.3,1.0,8.5,10,Paid,6.49,Everyone,Books & Reference,Android 3.0 - 2015,1.6 and up,64.9,0,0.0
FN model 1900 pistol explained,BOOKS_AND_REFERENCE,4.3,0.0,8.2,10,Paid,6.49,Everyone,Books & Reference,Android 3.0 - 2015,1.6 and up,64.9,0,0.0
Pistolet FN GP35 expliqué,BOOKS_AND_REFERENCE,4.3,2.0,7.9,5,Paid,5.99,Everyone,Books & Reference,Android 2.0 - 2014,1.6 and up,29.950000000000003,0,0.0
Pistolet FN 1906 expliqué,BOOKS_AND_REFERENCE,4.3,0.0,5.2,10,Paid,5.49,Everyone,Books & Reference,Android 2.0 - 2014,1.6 and up,54.900000000000006,0,0.0
Circle Colors Pack-FN Theme,PERSONALIZATION,4.2,6.0,0.089,50,Paid,0.99,Everyone,Personalization,1.0,2.2 and up,49.5,0,0.0
FO Bixby,PERSONALIZATION,5.0,5.0,0.861,100,Paid,0.99,Everyone,Personalization,0.2,7.0 and up,99.0,0,0.0
Mu.F.O.,GAME,5.0,2.0,16.0,1,Paid,0.99,Everyone,Arcade,1.0,2.3 and up,0.99,0,0.0
FP VoiceBot,FAMILY,4.3,17.0,0.157,100,Paid,0.99,Mature 17+,Entertainment,1.2,2.1 and up,99.0,0,0.0
Word Search Tab 1 FR,FAMILY,4.3,0.0,1.02,50,Paid,1.04,Everyone,Puzzle,1.1,3.0 and up,52.0,0,0.0
